Groups;
NAC_8021x_Eth_ARV2_Raspberry
NAC_8021x_Eth_VLAN87_ATA_Client
NAC_8021x_Eth_VLAN67_Client
NAC_8021x_Eth_Consulenti
NAC_8021x_Eth_MACAuthentication_VLAN3100_VoIP
NAC_8021x_Eth_Raspberry
NAC_8021x_Eth_VLAN109_Printers
NAC_8021x_Eth_VLAN33_ATA_DEFAULT_VLAN
NAC_8021x_Eth_VLAN1_DEFAULT_VLAN
NAC_8021x_WiFI_Device
